period_start,n_observations,mean_radiance,mean_residual,median_residual,std_residual
2020-10-30,271,156.497798410113,7.257842674554529,14.759194556079166,55.86335570122221
2020-10-31,279,152.02211530131677,2.797454722217236,7.587290746713421,58.83256472168333
2020-11-01,270,147.49722661901404,-1.7115261053518107,7.595421002644187,61.23894297035635
2020-11-02,217,145.99434253323463,-3.1988913488784583,6.301058128746661,60.17002879470258
2020-11-03,279,140.54733419657606,-8.629454364632288,-1.5242056659706407,61.63469551394276
2020-11-04,281,157.5016087107811,8.340176357227813,13.52681791326981,55.20697946546019
2020-11-05,235,150.92893687146776,1.7836718347229308,8.965175550193322,57.38774845410886
2020-11-06,253,162.4542158043903,13.326413479571945,16.829239290566562,54.93236922496968
2020-11-07,227,152.09472117150935,2.9817004781062915,16.183485388266803,61.14464114147871
2020-11-08,307,159.65181114370736,10.555894605941726,17.509543992418457,53.09508216621907
2020-11-09,90,145.93884206136067,-3.135572878351291,11.324109643307906,61.093470770173404
2020-11-10,297,151.1637420654297,2.099870169049367,3.816977362293869,58.04372911573544
2020-11-11,232,161.52072672350653,12.472509660768232,14.291782111377557,54.49553075665299
2020-11-12,295,155.44430702338784,6.41224802049486,11.696063674325217,57.57056111094522
2020-11-13,235,146.36653799503407,-2.6503597375739467,0.5996950436741315,72.19621777350568
2020-11-14,297,152.45726284450956,3.4569537533503376,9.11921546091466,59.35067344678491
2020-11-15,264,152.18090476989747,3.197147332040708,0.9554945126671157,59.44119840219287
2020-11-16,203,159.34581041758872,10.375803652649312,13.72512255072536,56.90899176685441
2020-11-17,252,157.5167958335271,8.566865349507253,6.875565943323309,56.04151637132531
2020-11-18,225,134.79252071126302,-14.14339729515931,-10.423311689154417,71.26862731506748
2020-11-19,110,144.90336547851564,-4.013672001051602,-0.27633007572721624,56.15218049625058
2020-11-20,198,147.5339643690321,-1.3666554819930812,1.3737263173260743,54.178433801708536
2020-11-21,75,159.65504602050783,10.761993062923203,17.059819594227434,46.922539257105335
2020-11-22,0,,,,
2020-11-23,30,103.57933634440104,-45.27113645168596,-21.445270076225107,64.37467964067187
2020-11-24,100,166.84853945922853,18.005146119739234,17.764933286913376,62.23121290729561
2020-11-25,80,127.79721313476561,-21.02452815657918,-9.004061838696103,60.346289654537124
2020-11-26,137,150.916618514235,2.107398791249235,2.116574880988395,50.84161553855056
2020-11-27,94,149.9669685526097,1.17980938601952,3.7736629974495486,62.607678772605766
2020-11-28,228,139.44650704902514,-9.328365891273902,-3.7276253135949986,69.25626535254608
2020-11-29,285,139.40180347108006,-9.357086148741407,0.19965554283780307,55.30748610006877
2020-11-30,228,127.92960450021843,-20.81342645404932,-12.844424794447889,53.21853862278491
2020-12-01,230,152.7584052707838,4.033033581454944,5.141889636819656,55.3336958602363
2020-12-02,284,151.6623368813958,2.9513116246933517,1.5682669474062862,61.24211636669509
2020-12-03,109,136.7500431725738,-11.94011258141637,-7.560990003782194,47.391701546989516
2020-12-04,256,146.73036046028136,-1.9479521711990384,2.904769974986152,54.70305499578927
2020-12-05,224,154.84631652832033,6.1820800957243245,7.1655283425992735,55.50416339264039
2020-12-06,258,134.374370320638,-14.271394551441366,-9.479537623641832,51.428804603074745
2020-12-07,259,131.82483689002547,-16.805286188441464,-8.808478439165242,51.84777150849366
2020-12-08,311,146.46188018896956,-2.1527215354380758,1.000631532990127,55.546320153213884
